Мемлекет басшысы Өзбекстан Президенті Шавкат Мирзиёевпен телефон арқылы сөйлесті	Telephone conversation with President of Uzbekistan Shavkat Mirziyoyev
Мемлекет басшысы Қасым-Жомарт Тоқаев «Nur Otan» партиясы Төрағасының бірінші орынбасары Мәулен Әшімбаевты, Қазақстанның «Ақ жол» демократиялық партиясының төрағасы Азат Перуашевті, Қазақстан коммунистік халық партиясы Орталық Комитетінің хатшысы Айқын Қоңыровты, «Ауыл» халықтық-демократиялық патриоттық партиясының төрағасы Әли Бектаевты қабылдады	The President of Kazakhstan Kassym-Jomart Tokayev receives Maulen Ashimbayev, First Deputy Chair of Nur Otan Party, Azat Peruashev, Chairman of Ak Zhol Democratic Party of Kazakhstan, Aikyn Konurov, Secretary of the Central Committee of the Communist People's Party of Kazakhstan, and Ali Bektayev, Chair of Auyl People’s Democratic Patriotic Party
Нұрсұлтан Назарбаев Қырғыз Республикасының Президенті Алмазбек Атамбаевқа көңіл айту жеделхатын жолдады	Telegram of condolences to President of Kyrgyzstan Almazbek Atambayev
Мемлекет басшысы Біріккен Араб Әмірліктерінің іскер топтар өкілдерімен кездесті	Meeting with the United Arab Emirates business community
Қазақстан Президенті «Calatrava Grace Corporation» компаниясының атқарушы директоры Майкл Калатравамен кездесті	Meeting with Micael Calatrava, co-CEO of Calatrava Grace
Нұрсұлтан Назарбаев Абу-Дабидің тақ мұрагері, БАӘ Қарулы күштері Жоғарғы Бас қолбасшысының орынбасары, шейх Мұхаммед бен Заид Әл Наһаянмен кеңейтілген құрамда келіссөз жүргізді	Negotiations with the Abu Dhabi Crown Prince Sheikh Mohammed bin Zayed Al Nahyan in expanded format
Мемлекет басшысы Біріккен Араб Әмірліктеріне ресми сапармен келді	Official visit to the United Arab Emirates
Ақордада Қазақстан Республикасы Президентінің шешімімен құрылған Мемлекеттік биліктің тармақтары арасында өкілеттіктерді қайта бөлу мәселелері жөніндегі жұмыс тобының алғашқы отырысы болып өтті	First meeting of the Working Group for reauthorization of governmental departments takes place in Akorda
Қазақстан Президенті Нұрсұлтан Назарбаев Ресей Федерациясының Президенті Владимир Путинмен телефон арқылы сөйлесті	Telephone conversation with the Russian President Vladimir Putin
Елбасы Мемлекеттік биліктің тармақтары арасында өкілеттіктерді қайта бөлу мәселелері жөніндегі жұмыс тобын құру туралы өкімге қол қойды	The Head of State signs a Decree on the Working Group for reauthorization of governmental departments
Елбасы «Бәйтерек» ұлттық басқарушы холдингі» акционерлік қоғамы басқармасының төрағасы Ерболат Досаевты қабылдады	Meeting with "Baiterek” National Holding Board Chairman Yerbolat Dosayev
Нұрсұлтан Назарбаев «Самұрық-Қазына» акционерлік қоғамы басқармасының төрағасы Өмірзақ Шөкеевті қабылдады	Meeting with "Samruk-Kazyna" Board Chairman Umirzak Shukeyev
Қасым-Жомарт Тоқаев Парламент Сенатының төрағасы Дариға Назарбаеваны, Премьер-Министр Асқар Маминді, Конституциялық Кеңесінің төрағасы Қайрат Мәмиді, Парламент Мәжілісі төрағасының орынбасары Владимир Божконы қабылдады	President of Kazakhstan Kassym-Jomart Tokayev receives Dariga Nazarbayeva, Chair of the Senate, Askar Mamin, Prime Minister, Kairat Mami, Chair of the Constitutional Council, and Vladimir Bojko, Deputy Chair of the Majilis
Қазақстан Президенті Нұрсұлтан Назарбаевтың Рождествомен құттықтауы	The President of Kazakhstan Nursultan Nazarbayev congratulates on the Christmas holiday
Мемлекет басшысы қысқа мерзімді демалыста	The Head of the State is on a short leave
Қарағанды облысы Шахан кентінде болған төтенше жағдайға байланысты көңіл айту	Condolences on the accident in Shahan of Karaganda region
Мемлекет басшысы Нұрсұлтан Назарбаевтың жаңа 2017 жылмен құттықтауы	President Nursultan Nazarbayev wishes a Happy New Year
Елбасы Сыртқы істер министрлігінің басшылық құрамымен кездесті	Meeting with the Ministry of Foreign Affairs leadership
Мемлекет басшысы елордадағы жаңа жылдық қайырымдылық кешіне қатысты	Visiting the capital city’s New Year Charity Ball
Нұрсұлтан Назарбаев ҰҚШҰ Ұжымдық қауіпсіздік кеңесінің отырысына қатысты	Participation in the meeting of the CSTO Collective Security Board
Қазақстан Президенті Жоғары Еуразиялық экономикалық кеңестің отырысына қатысты	Participation in the Supreme Eurasian Economic Council meeting
Мемлекет басшысы Нұрсұлтан Назарбаев Ресей Федерациясының Президенті Владимир Путинмен кездесті	Meeting with the Russian Federation President Vladimir Putin
Нұрсұлтан Назарбаев «Биокад» компаниясында болды	Visit to "Biocad" company
Мемлекет басшысы Экология, геология және табиғи ресурстар министрі Мағзұм Мырзағалиевті қабылдады	Kassym-Jomart Tokayev receives Magzum Mirzagaliev, Minister of Ecology, Geology and Natural Resources
Қазақстан Президенті Еуропадағы қауіпсіздік және ынтымақтастық ұйымының төрағасы Мирослав Лайчакпен кездесті	Meeting with Miroslav Lajčák, Chair of the Organization for Security and Co-operation in Europe
Қазақстан Президенті «Диаконт» компаниясында болды	Visit to "Diakont" company
Мемлекет басшысы Нұрсұлтан Назарбаев Ресей Федерациясының Президенті Владимир Путинге көңіл айту жеделхатын жолдады	Condolences to President of the Russian Federation Vladimir Putin
Нұрсұлтан Назарбаев Еуразиялық экономикалық комиссия алқасының төрағасы Тигран Саркисянды қабылдады	Meeting with the Chairman of the Eurasian Economic Commission Board Tigran Sargsyan
Мемлекет басшысы Иран Ислам Республикасының Президенті Хасан Руханимен арадағы келіссөздер қорытындысы бойынша БАҚ өкілдері үшін баспасөз брифингін өткізді	Briefing the media as result of talks with President of the Islamic Republic of Iran Hassan Rouhani
Қазақстан Президенті Иран Ислам Республикасының Президенті Хасан Руханимен кеңейтілген құрамда келіссөз жүргізді	Talks with President of the Islamic Republic of Iran Hassan Rouhani in expanded format
Нұрсұлтан Назарбаев Қазақстанға ресми сапармен келген Иран Ислам Республикасының Президенті Хасан Руханимен кездесті	Meeting with the Islamic Republic of Iran President Hassan Rouhani, who arrived in Kazakhstan on official visit
Қазақстан Президенті Нұрсұлтан Назарбаев Германияның Федералдық канцлері Ангела Меркельге көңіл айту жеделхатын жолдады	Telegram of condolences to Federal Chancellor of Germany Angela Merkel
Елбасы Алматы қаласындағы мұражайда болды	Visit to Almaty museum
Нұрсұлтан Назарбаев қоғам қайраткері, Ұлы Отан соғысының ардагері Аманжол Қалықовты қабылдады	Meeting with a community worker and a World War II veteran Amanzhol Kalikov
Мемлекет басшысы қоғам қайраткері Өмірзақ Айтбаевты қабылдады	Meeting with a public man Umirzak Aitbayev
Мемлекет басшысы Қасым-Жомарт Тоқаев Ғарыш қызметі жөніндегі «Роскосмос» мемлекеттік корпорациясының бас директоры Дмитрий Рогозинді қабылдады	President of Kazakhstan Kassym-Jomart Tokayev receives Dmitry Rogozin, Director General of Roscosmos
Қазақстан Президенті Нұрсұлтан Назарбаев Ресей Федерациясының Президенті Владимир Путинге көңіл айту жеделхатын жолдады	Telegram of condolences to the Russian President Vladimir Putin
Нұрсұлтан Назарбаев Геннадий Зенченконың қайтыс болуына байланысты туған-туысқандары мен жақындарына көңіл айту жеделхатын жолдады	Telegram of condolences to Gennady Zenchenko’s relatives and close friends upon his loss
Мемлекет басшысы Нұрсұлтан Назарбаев Ресей Федерациясының Президенті Владимир Путинмен және Түркия Республикасының Президенті Режеп Тайип Ердоғанмен телефон арқылы сөйлесті	Telephone conversations with President of the Russian Federation Vladimir Putin and President of Turkey Recep Tayyip Erdogan
Нұрсұлтан Назарбаев «Астана ЭКСПО-2017» халықаралық көрмесі нысандарында болды	Visiting "Astana EXPO-2017" international exhibition facilities
Елбасы «Тәуелсіздіктің 25 жылдығы» монументінің ашылу рәсіміне қатысты	Participation in the opening ceremony of “Тәуелсіздіктің 25 жылдығы” monument
Мемлекет басшысы Қазақстан Республикасы Тәуелсіздігінің 25 жылдығына арналған «Жетістіктер мен жеңістердің 25 жылы» атты мерекелік концертке қатысты	Visiting "25 Years of Achievements and Gains" gala concert on the 25th anniversary of Independence of the Republic of Kazakhstan
Қазақстан Президенті Өзбекстан Республикасының Президенті Шавкат Мирзиёевпен телефон арқылы сөйлесті	Telephone conversation with President of the Republic of Uzbekistan Shavkat Mirziyoyev
Елбасы Қазақстан Республикасы Тәуелсіздігінің 25 жылдығына арналған салтанатты жиналысқа қатысты	Participation in the solemn meeting on the 25th anniversary of Kazakhstan’s Independence
Мемлекет басшысы Израиль мемлекетінің Премьер-министрі Биньямин Нетаньяхумен өткен келіссөздер қорытындысы бойынша БАҚ өкілдері үшін баспасөз брифингін өткізді	Briefing for the media after the talks with the Prime Minister of Israel Benjamin Netanyahu
Қасым-Жомарт Тоқаев Ресей Федерациясы Федералдық Жиналысы Федерация Кеңесінің төрайымы Валентина Матвиенкомен кездесті	Meeting with Valentina Matvienko, Chairwoman, Council of Federation of the Federal Assembly of the Russian Federation
Қазақстан Президенті Израиль мемлекетінің Премьер-министрі Биньямин Нетаньяхумен ресми сапар аясында кеңейтілген құрамда келіссөз жүргізді	Negotiations in extended format as part of the Prime Minister of Israel Benjamin Netanyahu’s official visit
Нұрсұлтан Назарбаев Қазақстанға ресми сапармен келген Израиль мемлекетінің Премьер-министрі Биньямин Нетаньяхумен кездесті	Meeting with Prime Minister of Israel Benjamin Netanyahu, who arrives in Kazakhstan on an official visit
Мемлекет басшысы Ұлттық банктің төрағасы Данияр Ақышевті қабылдады	Meeting with Chairman of the National Bank Daniyar Akishev
Елбасы «Қазақстан Республикасы Тәуелсіздігінің жиырма бес жылдығына байланысты рақымшылық жасау туралы» заңға жария түрде қол қойды	Public signing of Law "On amnesty on the 25th anniversary of the Republic of Kazakhstan’s Independence"
Қазақстан Республикасы Президентінің Жарлығы	Decree of the President of the Republic of Kazakhstan
Қазақстан Республикасының мемлекеттік наградаларымен марапаттау туралы	On the Republic of Kazakhstan’s national awards
Нұрсұлтан Назарбаев Мысыр Араб Республикасының Президенті Әбдел Фаттах Ас-Сисиге Каир қаласында болған террорлық актіге байланысты көңіл айту жеделхатын жолдады	Telegram of condolences to President of the Arab Republic of Egypt Abdel Fattah el-Sisi on the terrorist attack in Cairo
Қазақстан Президенті Ресей Федерациясы Мемлекеттік Думасының төрағасы Вячеслав Володинмен кездесті	Meeting with Chairman of the Russian Federation State Duma Vyacheslav Volodin
