шикізат	raw material	0,15
қолданыстағы тариф	current fare	0,15
қортынды	total	0,15
өнімге салынатын салықтар	taxes on products	0,15
абаттандырылған тұрғын үйлерді алып сату	resale comfortable housing	0,16
шарттардың орындалуын қамтамасыз ету	enforcement of contracts	0,16
пайызда , өсу + , кему -	sale and purchase transactions	0,16
өнеркәсіп өнімдеріне өндіруші кәсіпорындар бағасының өзгеруі	change in prices of industrial enterprises	0,16
16.12.1991 жылы туылғандар	born on 12 / 16 / 1991	0,16
сиыр еті жауырын-төс бөлігі	beef shoulder part	0,16
батыс қазақстан	west-kazakhstan region	0,16
кәсіпорын ашу	opening enterprises	0,16
айқындық	transparency	0,17
несие алу	getting loans	0,17
пайызбен	in percentage	0,17
таза салықтар	net taxes	0,17
тмс атауы	name of the snp	0,17
ақтөбе	turkestan	0,17
денсаулық	health	0,17
қаймақ	sour cream	0,17
бағдарламашы ( компьютерлік )	computer programmer	0,17
импорттық түсімдер бағасының өзгеруі	change in prices of imports	0,17
жабдықтау жөніндегі агент	procurement agent	0,18
су бұру саласында :	in the field of water supply	0,18
2015ж .	2017	0,18
2015ж .	2018	0,18
2017ж .	2017	0,18
2017ж .	2018	0,18
2018ж .	2018	0,18
2018ж .	2019	0,18
алма	apples	0,18
майлар	fats	0,18
меншікті тіркеу	property registration	0,18
петропавл	petropavlovsk	0,18
абаттандырылған тұрғын үйлерді	change in resale prices	0,19
жалпы көлемге пайызбен	in percentage to the total volume	0,19
тасымалдау	transportation	0,19
тұрғын үйді сатып алу-сату мәмілелері	purchase and sale of housing	0,19
азық-түлік емес тауарлар	non-food products	0,19
азық-түлік емес тауарлар	non-grocery goods	0,19
азық-түліктік емес тауар	non-grocery goods	0,19
абаттандырылмаған тұрғын үйлерді алып сату	resale of the unsuitable housing	0,20
денсаулық сақтау министрлігі бизнес-қоғамдастыққа өз тарапынан бұл проблемаларды шешудің басқа да жолын қарастыратын реттеушілік әсердің баламалы талдауын жүргізуді ұсынды .	following the meeting , the ministry of health took for review the analysis of the regulatory impact in accordance with the recommendations of the expert group members , who also recommended the business community to conduct an alternative analysis of the regulatory impact , providing for other solutions to the presented problems .	0,20
ауыл шаруашылығы	agriculture	0,20
банан	bananas	0,20
жас жігіттер	young men	0,20
жаһандық бәсекеге қабілеттілік индексі	global competitiveness index	0,20
экспорт - барлығы	export total	0,20
әйелдер	women	0,20
өндірілгені	produced	0,20
абаттандырылған тұрғын үйлерді алып сату	resale of a comfortable housing	0,20
көп пәтерлі үйлердегі пәтерлер	apartments in multi-apartment buildings	0,20
алып сату бағасының өзгеруі	comfortable housing	0,21
құрылысқа рұқсат алу	obtaining building permits	0,21
құрылыстағы баға	prices in construction	0,21
алматы қаласының мамандандырылған ауданаралық әкімшілік соты арқылы жер инспекторы қр әқбтк 175-бабының бірінші бөлігі бойынша әкімшілік жауапкершілікке тартылды .	a specialized interdistrict administrative court of the city of almaty , a land inspector , was brought to administrative responsibility under part one of article 175 of the administrative code of the republic of kazakhstan	0,21
әдіснамалық түсініктемелер	methodological notes	0,21
машиналар мен жабдықтар	cars and equipment	0,21
шошқа еті жауырын бөлігі	pork shoulder part	0,21
халықтың табиғи қозғалысы	natural movement of the population	0,21
экспорттық жеткізілімдер бағасының өзгеруі	change in prices of export supplies	0,21
картоп	potatoes	0,21
өнімін	producer	0,21
энергетика	power industry	0,22
өндірілген өнім	industrial products	0,22
халық тұтынған тамақ өнімдерінің тәуліктік	composition of nutrients consumed	0,22
абаттандырылған тұрғын үйді жалға алу төлемі	rent for comfortable accommodation	0,23
азық-түлік тауарлары	food commodities	0,23
тауықтың сан еті	chicken legs	0,23
тұз	salt	0,23
шшққ	w / x	0,23
қалада тіркелген	registered in the city	0,23
қаңтар-маусым 2017ж .	jan.-june 2018 to	0,23
абаттандырылған тұрғын үйлерді алып сату	resale of the comfortable housing	0,23
сыбайлас жемқорлыққа нөльдік төзімділік атмосферасы	atmosphere of zero tolerance for corruption	0,23
қаржылық жүйе	financial system	0,23
тарифтік міндеттемелер жөніндегі ақпарат	information on tariff obligations	0,23
алматы қ .	almaty city	0,23
динамикасы	dynamics	0,23
кәсіптер	profession	0,23
пайызбен	'in percent	0,23
ұнтақ жарма	semolina	0,23
бірыңғай электрондық еңбек биржасын кең ауқымда енгізу қажет .	the people of kazakhstan should have the opportunity to find new employment relatively quickly , including in other localities of the country .	0,23
макроэкономикалық тұрақтылық	macroeconomic stability	0,23
өндірушілердің ауыл шаруашылығы өнімдеріне бағасының өзгеруі	change in producer prices for agricultural products	0,23
көп пәтерлі үйлердегі пәтерлер	apartments in multi-apartment houses	0,24
көппәтерлі үйлердегі пәтерлер	apartments in multi-apartment houses	0,24
тұрғын үйді сатып алу-сату мәмілелері	sale and purchase transactions	0,24
абаттандырылған тұрғын үйді жалға алу төлемі	rental price for comfortable housing	0,24
азық-түлік емес тауарлар	non grocery products	0,24
солтүстік қазақстан	north-kazakhstan region	0,24
жүргізушісі	car driver	0,24
инвестици	investments	0,24
сумен жабдықтау саласында :	in the field of water supply . tenge	0,24
желтоқсан- дағы тұрғын үйді сатып алу-сату мәмілелері- нің саны	number of purchase and sale transactions for december	0,24
өндірушілердің ауыл шаруашылығы өнімдеріне бағасының өзгеруі	changes in producer prices for agricultural products	0,24
төлемқабілетсіздікті шешу	insolvency resolution	0,24
тұздалмаған сары май	butter , unsalted	0,24
ең төмен күнкөріс деңгейінің шамасы	amount of minimum income level	0,24
ең төмен күнкөріс деңгейінің шамасы	amount of subsistence minimum	0,24
кәсіпкерліктің сенімділік индексі	the business confidence index	0,24
алматы қаласы	almaty city	0,25
газбен жабдықтау саласында :	in the field of gas supply	0,25
көрсеткіштер	indicators	0,25
халық тұтынған тамақ өнімдерінің энергетикалық құндылығы	the energy value of food consumed by the population	0,25
құрметті отандастар !	dear compatriots ,	0,25
жоспарланған тариф төмендеуі	planned tariff reduction	0,25
жылумен жабдықтау саласында :	in the field of heat supply	0,25
бизнес-климатты жақсарту	improving the business climate	0,25
заңды тұлға	legal entity	0,25
зейнет-керлер мен қарт адамдар	pensioners and the elderly	0,25
зейнет-керлер мен қарт адамдар	retired and elderly people	0,25
облыс	region	0,25
ресей	russia	0,25
қыздар	girls	0,25
өнімі	output	0,25
жалақысы төменгі кәсіптер мен лауазымдар	low-paid professions and positions	0,25
майекті ірімшік	rennet cheese	0,25
құрылыстағы бағаның өзгеруі	changes in prices in construction	0,25
өнеркәсіптік өндіріс индекстері	industrial production index	0,25
2019 жылғы қаңтар	january 2019 to	0,26
агроном	doctor	0,26
жамбыл	zhambyl	0,26
орташа	average	0,26
сары май	butter	0,26
сүйегі бар қой еті	lamb with bones	0,26
туризм	tourism	0,26
тұтыну тауарлары	consumer goods	0,26
қаңтар-маусымға	jan.-june 2017	0,26
қоршаған ортаны қорғау	environmental protection	0,26
әаож жіктеуіші	classifier of ato	0,26
өзгеріс	change	0,26
тамақтану калориялығы ең төменгі шекті деңгейден де төмен халықтың үлесі	proportion of population whose caloric intake is below the minimum acceptable level	0,26
қаңтардағы тұрғын үйді сатып алу-сату мәмілелері- нің саны	number of purchase and sale transactions for january	0,26
ақпанға	december	0,26
беларусь	belarus	0,26
ең жоғары	maximum	0,26
жеңімпаздарды құттықтай отырып , шығармашылық табыс тілейміз .	we thank our colleagues for participating and congratulate the winners !	0,26
инженер	engineer	0,26
тауарлық газды тасымалдау	commodity gas transportation	0,26
қаңтарға	january	0,26
құрылыс	building	0,26
өнімдердің жекелеген түрлеріне бағасының өзгеруі	change in prices for certain types of products	0,26
жалақысы жоғарығы кәсіптер мен лауазымдар	highly paid professions and positions	0,26
солтүстік қазақстан	north-kazakhstan	0,26
семинарға қатысушылардың алдында бюджеттік саясат департаменті директорының орынбасары г . досқалиева сөз сөйледі .	welcoming speech to the participants of the seminar were made by the deputy director of the department of fiscal policy duskalieva g.z.	0,27
мал шаруашылығы өнімі	livestock products	0,27
салық салу	taxation	0,27
тұтыну тауарлары мен қызметтеріне бағаның өзгеруі	change of the prices for the consumable goods and services	0,27
өнеркәсіп	industry	0,27
ізбасарова нұргүл өзі ұсынған ақпаратты экономикаға , бүгінгі заман талабына байланыстыра отырып , көрермендерді өзіне тарта білді .	frunzebekuly erzat also decorated the competition with music .	0,27
өнеркәсіп өнімдеріне өндіруші кәсіпорындардың бағасы	prices of manufacturing enterprises for industrial products	0,27
бухгалтер	accountant	0,27
вермишель	vermicelli	0,27
тұрғындар	population	0,27
тәжікстан	tajikistan	0,27
қалалық жер	urban area	0,27
өзбекстан	uzbekistan	0,27
өнеркәсіп	industrial	0,27
өнеркәсіп өнімдеріне өндіруші кәсіпорындар бағасының өзгеруі	changes in prices of manufacturers of industrial products	0,27
өнімдердің жекелеген түрлеріне бағасының өзгеруі	changes in prices for certain types of products	0,27
қазіргі уақытта аталған қызметке қосылған банктер мен сақтандыру компанияларының қатары арта түсуде , сондай-ақ үстіміздегі жылы азаматтарға қолайлы жағдай жасау және елдегі бизнес-климатты жақсарту үшін бірқатар қызмет көрсетулер жүзеге асырылатын болады .	in the future , the number of banks and insurance companies connected to this service will increase .	0,27
ауылдық жер	countryside	0,27
институттар	institutes	0,27
нарық өлшемі	market size	0,27
құрылыс-монтаж жұмыстары	civil and erection works	0,27
өндірілгені	produced by	0,27
2018ж. қаңтар	january 2018	0,28
2019ж. қаңтар	january 2019	0,28
халықтың табиғи қозғалысы	natural population movement	0,28
2017-2018жж. құрылыстағы бағаның өзгеруі	changes in prices in construction in 2017-2018	0,28
2018ж. қаңтар	january 2018 to	0,28
2019ж. қаңтар	january 2019 to	0,28
дайын өнімдер	finished goods	0,28
зейнет-керлер мен қарт адамдар	pensioners and older persons	0,28
шымкент қаласы	shymkent city	0,28
2018ж . i тоқсан	quarter 1 2018 to	0,28
көппәтерлі үйлердегі пәтерлер	apartments in multi-family homes	0,28
өнеркәсіптік өндіріс индекстері	industrial production indices	0,28
миноритарлық инвесторларды қорғау	protection of minority investors	0,28
тауарлар нарығы	commodity market	0,28
электрменмен жабдықтау саласында :	in the field of electricity supply	0,28
жалпы қосылған құн	gross value added	0,28
қаңтар-қарашаға	january-november	0,28
рационындағы тағамдық заттардың құрамы	food in the daily diet of the population	0,28
тауарлар өндірісі	production of goods	0,28
өндіріс құралдары	means of production	0,28
шала ысталған шұжық	half-smoked sausage	0,28
өндіруші кәсіпорындар бағасының өзгеруі	change in prices of manufacturing companies	0,28
қазақстандықтардың жаңа жұмыс орнын салыстырмалы түрде тезірек иеленуге , соның ішінде еліміздің басқа да елді мекендерінен жұмыс табуға мүмкіндігі болуға тиіс .	conditions which will encourage faithful fulfilment of obligations to the state must be created .	0,28
инновациялық әлеует	innovation potential	0,28
ауыл шаруашылығы өнімі	agriculture products	0,28
жартылай дайын өнімдер	semi-finished products	0,29
тұтыну тауарлары мен қызметтеріне бағаның өзгеруі	changes in prices for consumer goods and services	0,29
тұрғын үй нарығындағы баға	prices in the housing market	0,29
халықтың табиғи қозғалысы	natural population changes	0,29
қымбатты қазақстандықтар !	dear people of kazakhstan ,	0,29
" онтүстік жарық транзит " жшс	ontustik zharyktransit llp	0,29
1-орын - фрунзебекұлы ерзат	1st place frunzebekuly erzat	0,29
әдіснамалық түсініктемелер	methodological explanations	0,29
элект.энергиясын тасымалдау	transportation of electricity	0,29
статистикалық бизнес-тіркелім	statistical business register	0,29
ең төмен күнкөріс деңгейінің шамасы	the size of the subsistence minimum	0,29
тұрғын үй нарығындағы бағаның өзгеруі	change in prices in the housing market	0,29
өнеркәсіп өнімдерінің жекелеген түрлеріне өндіруші кәсіпорындар бағасының өзгеруі	changes in prices of manufacturing enterprises for certain types of industrial products	0,29
2017ж .	2018 to	0,30
автомобиль	agronomist	0,30
айналымы	turnover	0,30
айран	kefir	0,30
акт	ict	0,30
алматы	almaty	0,30
армения	armenia	0,30
атырау	atyrau	0,30
ауыл шаруашылығы өнімі	agricultural products	0,30
ақмола	akmola	0,30
ақтау	aktau	0,30
ақтөбе	aktobe	0,30
бөлшек	retail	0,30
демография	demography	0,30
дефлятор	deflator	0,30
ең төмен	minimal	0,30
еңбек нарығы	labor market	0,30
жалпы	gross	0,30
жартылай дайын өнімдер	semifinished products	0,30
жіө	gdp	0,30
заңды тұлғалар	legal entities	0,30
маңғыстау	mangistau	0,30
маңғыстау	mangystau	0,30
метрінің бағасы , теңге	january-december 2017	0,30
молдова	moldova	0,30
нки	ifo	0,30
нки дефлятор	ifo deflator	0,30
орташа тариф	average fare	0,30
павлодар	pavlodar	0,30
пастерленген сүт	pasteurized milk	0,30
портландцемент	portland cement	0,30
талдықорған	taldykorgan	0,30
тараз	taraz	0,30
туркістан	turkestan	0,30
түркіменстан	turkmenistan	0,30
түркістан	turkestan	0,30
тұрғын үй нарығындағы бағаның өзгеруі	changes in prices in the housing market	0,30
украина	ukraine	0,30
шай	tea	0,30
экономист	economist	0,30
электрмен жабдықтау жүйесіне қосылу	connection to the power supply system	0,30
қарағанды	karaganda	0,30
қостанай	kostanay	0,30
қызылорда	kyzylorda	0,30
қырғызстан	kyrgyzstan	0,30
ққс-пен теңге	name of the snp	0,30
әзербайжан	azerbaijan	0,30
өнеркәсіп кәсіпорындарының өндірістік-техникалық мақсаттағы өнімдерді сатып алу бағасы	the prices for the purchase of industrial and industrial products by industrial enterprises	0,30
өнеркәсіп өнімін өндіруші кәсіпорындар бағасы	prices of manufacturers of industrial products	0,30
өнеркәсіптік өндіріс индекстері	indices of industrial production	0,30
өзін-өзі жұмыспен қамтығандарды тіркеу үдерісін мейлінше жеңілдетіп , оларға мемлекет алдындағы міндеттерін адал атқару тиімді болатындай жағдай туғызу қажет .	the process for registering the self-employed should be simplified as much as practically possible .	0,30
осы статистикалық байқаудың нәтижелерімен танысу және толық зерттеу үшін " қазақстан республикасында лайықты еңбек өлшемінің статистикалық көрсеткіштері " бюллетенінің электронды нұсқасы www.stat.gov.kz сайтында " ресми статистикалық ақпарат , " " жедел деректер ( жедел ақпарат , бюллетендер ) " бөлімінде орналастырылған .	the hidden unemployment rate - the portion of economically active people who are partially employed and having forced vacations , measured in percentage .	0,31
рухани жаңғыру бағыты бойынша кешенді іс-шаралар жүргізілуде .	complex measures are being taken within the rukhani zhanghyru programme ( modernisation of kazakhstan 's identity programme ) .	0,34
жұмыс күшінің тұрақсыздық коэффициенті - есептік кезең ағымындағы қызметкерлердің тізімдік санына орташа осы кезеңге тұрақсыздық себептері бойынша босатылған қызметкерлердің арақатынасымен анықталады .	the coefficient of labor turnover is determined by the ratio of retired workers for reasons of turnover to the number of employees on average for the reporting period .	0,35
халықаралық еңбек ұйымының ( бұдан әрі - хеұ ) лайықты еңбекті статистикалық өлшеу бағдарламасы шеңберінде қазақстан республикасы ұлттық экономика министрлігінің статистика комитетімен лайықты еңбек көрсеткіштерін жыл сайынғы негізде қалыптастырылады .	8.7 million people were employed in the economy of the republic in january 20191 ) .	0,35
өңіраралық көші-қонның оң айырымы :	the positive balance of interregional migration was observed in the regions and amounted to :	0,35
осыдан кейін серік жұманғарин дөңгелек үстел қатысушыларын ұлттық экономика министрлігінің монополистердің қызметіне арналған тариф төмендету жөніндегі жұмысымен таныстырды , жаңа жылда халықты электр , жылу , газ , сумен жабдықтау және су тарту сияқты салаларда тарифтерді айтарлықтай төмендетуге қатысты жағымды " сыйлық " күтіп тұрғанын хабарлады .	then serik zhumangarin briefed the participants of the round table on the ongoing work of the ministry of national economy to reduce tariffs of monopolists .	0,35
еңбекке қабілетті әлеуметтік тұрғыдан аз қамтылған азаматтар үшін берілетін қаржылай көмек оларжұмыспен қамту шараларына қатысқан жағдайда ғана қолжетімді болады .	able bodied low-income citizens will receive financial aid provided they participate in employment promotion measures .	0,36
еліміздегі өңірлік саясат халықтың тұрып жатқан жеріне қарамастан бәсекеге қабілеттілігі мен тұрмыс сапасын артыруға бағытталған .	the regional policy of the country is aimed at increasing the competitiveness of the regions and improving the quality of life of the population regardless of their place of residence .	0,37
индекс нақты деректерде негізделген , қызмет көрсетудегі кедергілерді зерттеуге мүмкіндік беретін бірегей диагностикалық құрал болып табылады .	the index is a unique diagnostic tool based on evidence that allows you to explore the barriers to trade in services .	0,37
заң жобасы сондай-ақ қазақстандық тасымалдаушылардың салықтық ауыртпалықтарын төмендетуді де көздейді .	the bill also provides for reducing the tax burden on kazakh carriers .	0,38
ауылдық жердегі халықтың тұтынуы қалалық жерге қарағанда неғұрлым калориялы ( құнарлы ) екендігін атап өтуге болады .	it can be noted that the food of the population in rural areas is more caloric than in urban areas .	0,39
кеңеске қатысушылар заңнаманы жақсартуға қатысты өз ұсыныстарын білдіріп , министрліктің жанында тұрақты жұмыс істейтін жұмыс тобының шеңберінде тиісті ұсыныстар әзірлеуге қатысуға дайын екенін мәлімдеді .	the meeting participants made proposals for improving the legislation and expressed their readiness to participate in the development of relevant proposals within the framework of a permanent working group under the ministry .	0,39
түзетулер арқылы сондай-ақ кәсіпкерлердің табиғи монополиялар мен квазимемлекеттік сала субъектілерімен өзара әрекеттесуі кезіндегі құқықтары мен мүдделерін қорғауды қамтамасыз ету жоспарлануда .	the amendments are also planned to ensure the protection of the rights and interests of entrepreneurs in dealing with the subjects of natural monopolies and the quasi-public sector .	0,40
өңіраралық көші-қонның оң айырымы :	positive balance of interregional migration was noticed in the regions and comprised :	0,40
прокуратура органдарының ұйғарымдарында көрсетілген кәсіпорындарға бақ өкілдерінің , көпшіліктің қатысуымен прокуратура органдарының ұйғарымында көрсетілген фактілер бойынша басшылардың есебін ұйымдастыру үшін баспасөз турларын өткізу қажет .	to organize the press-tours with the participation of media representatives to organize the reports of the managers on the facts specified in the instructions of the prosecutor 's offices to the enterprises specified in the prescriptions of the prosecution authorities .	0,40
ауыл шаруашылығын қарқынды дамыту өнімнің сапасы мен экологиялық тазалығын сақтай отырып жүргізілуі қажет .	intensification of agriculture should take place in line with the preservation of quality and mindful of the ecological compatibility of products .	0,40
ол азық-түлік себетінен және азық-түлік емес тауарлар мен көрсетілетін қызметтерге жұмсалатын шығыстардың тіркелген үлесінен тұрады .	it consists of a food basket and a fixed share of non-food items and services .	0,40
кәсіпкерлік кодексте бәсекелестік саласындағы нарыққа қатысушылардың бәсекелестікке қарсы әрекеттерінің алдын алуды реттеуге бағытталған негізгі тәсілдері шоғырландырылған .	the entrepreneurship code has focused on the main approaches of competition regulation to preventing anticompetitive actions by market participants .	0,40
женева қаласында дсұ алаңында еуразиялық экономикалық одақ туралы шарттың нақты тұсаукесерінің шолуы жүргізілді .	representatives of the mne rk participated in the meeting of the wto committee on regional trade agreements , which was held in geneva in the wto secretariat .	0,40
реттеушілік құралдарды қайта қарау жоспарын құру мен қайта қарау тәртібімен рәт рәсімдерін өткізу тәртібінің ерекшеліктеріне назар аударылды .	the main focus is on the development of a plan for reviewing regulatory instruments and the specifics of the procedure for conducting an arv procedure in a revision procedure .	0,41
ең төмен күнкөріс деңгейі - шамасы бойынша ең төмен тұтыну себетінің құнына тең , бір адамға арналған ең төмен ақшалай кіріс .	the subsistence minimum is the minimum cash income per person equal to the value of the minimum consumer basket .	0,41
жаһандық трендтер көрсетіп отырғандай , ол , бірінші кезекте , төртінші өнеркәсіптік революцияэлементтерін кеңінен енгізуге негізделуі тиіс .	global trends show that it should be based primarily on the broad implementation of the fourth industrial revolution elements .	0,41
қызмет көрсету сапасын қамтамасыз етуде көпшіліктің тарапынан сынды бірінші болып еститін ұэм аумақтық департаменттері мен әкімдіктерде қандай проблемалар орын алуда ?	what problems are the territorial departments of the ministry of national economy and the akimats , who are the first to hear criticism from the public for ensuring the quality of services .	0,41
өңіраралық көші-қонның оң айырымы :	the positive balance of interregional migration was observed in the regions and was :	0,42
жобаларды іске асыру эқжк нақты бір түрі бойынша тіркелген тауарлар тобына сәйкес орындалатын болады .	project implementation will be carried out in accordance with the group of products for the types of ncea associated with them .	0,42
бұл жоғары оқу орындарынан оқу бағдарламаларын жаңартып , агроөнеркәсіп кешеніндегі озық біліммен үздік тәжірибені тарататын орталықтарға айналу талап етіледі .	these universities need to update training programmes and become centres for the distribution of the most advanced knowledge and best practices in the agro-industrial sector .	0,42
тексеріс кәсіпкердің алматы қаласы жер инспекциясының бизнесменнің заңды құқығының бұзылуына алып келген заңсыз әрекетіне шағымы негізінде жүргізілді .	the audit was carried out on the complaint of the entrepreneur against the illegal actions of the land inspection of almaty , which violated the legal rights of the businessman .	0,43
еңбек нарығының тиімділігін қамтамасыз етіп , әрбір адамның өз әлеуетін іске асыра алуы үшін жағдай жасаудың маңызы зор .	it is critical to ensure the efficiency of the labour market by creating conditions that enable everyone to fulfil their potential .	0,43
екінші бастама бойынша сарапшылар жалақысы төмен жұмысшылардың салық жүктемесін азайту оларды салық ауыртпалығын оңтайландыруды ынталандыратындығын атап өтті .	according to the second initiative , experts noted that reducing the tax burden on low-paid workers will be an incentive for optimizing their tax burden .	0,43
жас ғалымдарымызға ғылыми гранттар аясында квота бөліп , оларды қолдаудың жүйелі саясатын жүргізуіміз керек .	we need to marshal a consistent policy to support our young scientists by allocating quotas within the framework of scientific grants .	0,43
қазіргі денсаулық сақтау ісі қымбатқа түсетін стационарлық емге емес , негізінен аурудың алдын алуға бағытталуға тиіс .	modern health care should focus more on disease prevention rather than on expensive hospital treatment .	0,43
батыс-қазақстан облысының теректі ауданы коммуналдық желілердің сапасы , жергілікті атқарушы орган жұмысының тиімділігі көрсеткіштері бойынша жоғары балл жинады .	the terekty district of the west kazakhstan region scored high points in terms of the quality of utility networks and the efficiency of the local executive body .	0,43
одан соң аудандық әкімдікке немесе аудандық маңыздағы қала әкімдігіне өзіңіздің жобаға қатысқыңыз келетініңіз туралы өтініш беру қажет .	then you should contact the district akimat or akimat of the city of district significance with the statement that you want to participate in the project .	0,43
жалдамалы қызметкерлер саны 6,6 млн. адамды немесе экономикада жұмыспен қамтылғандардың жалпы санының 75,8 % құрады .	officially , at the end of january 2019 111.0 thousand people were registered in the employment agencies .	0,43
өз сөзінде қа.ж. министрлігі өкілі оңалту және банкроттық жөніндегі заңнама аясында банкроттық рәсімдерді өткізу мерзімі мен әкімшілік шығындарды азайтуға қатысты жүзеге асырылып жатқан шараларға кеңінен тоқталды .	in his speech , the representative of the ministry of finance also dwelled in detail on the measures implemented in the framework of the legislation on rehabilitation and bankruptcy , in terms of reducing the timing of the bankruptcy procedure and reducing administrative expenses .	0,43
оқытудың мазмұндылығы заманауи техникалық тұрғыдан қолдау көрсету арқылы үйлесімді түрде толықтырылуға тиіс .	the content of training should be harmoniously complemented by modern technical support .	0,44
жоғары оқу орындарына білім беру бағдарламаларын жасауға көбірек құқық беріп , олардың академиялық еркіндігін заңнамалық тұрғыдан бекіту керек .	it is necessary to legislatively consolidate academic freedom of universities by giving them more rights to develop educational programmes .	0,44
медицинада ауруларды диагностикалау мен емдеудің тиімділігін айтарлықтай арттыратын генетикалық талдау мен жасанды интеллект технологияларын енгізуге кірісуіміз керек .	it is necessary to introduce genetic testing and artificial intelligence in medicine which will significantly improve the effectiveness of diagnosis and treatment .	0,44
тұтынушылар табиғи монополиялар субъектілерінің қызметі бойынша өздерін толғандырған сұрақтарға жедел түрде жауап ала алады .	consumers can quickly get answers to exciting questions about the activities of subjects of natural monopolies .	0,44
көрсеткіштердің анықталуы олар қолданылатын қызмет саласындағы түрлі тәжірибелерге негізделді .	the choice of indicators was due to the fact that the areas of activity in which they appear are characterized by various law enforcement practices .	0,44
а . оразғұлов өзінің сөз сойлеудің ең соңында мемлекеттік қызметшілер әдеп кодексте белгіленген талаптарды ұмытпауға шақырды .	at the end of his speech , a. urazgulov called on civil servants not to forget the requirements set out in the code of ethics .	0,44
жақын арадағы келешекте өнеркәсіп кәсіпорындары басшыларының ой-пікірлері бойынша ағымдағы уақытпен салыстырғанда қаржы-шаруашылық қызметінің жақсаруы күтіледі .	according to opinions of the majority of heads of industrial enterprises , in the coming perspective the improvement of financial and economic activity in comparison with the current moment .	0,44
отырыс қорытындысы бойынша денсаулық сақтау министрлігі сараптау тобы мүшелерінің ұсынымдарына сәйкес реттеушілік әсерді талдауға түзетулер енгізеді .	in addition , in the presented forms of analysis of the regulatory impact is not quite reliably presented information on the costs of business , as well as statistical data .	0,44
комитет пен оның аумақтық бөлімшелері жоспардан тыс тексерулердің нәтижесі бойынша тиісті ден қою шараларын қабылдайтын болады .	according to the results of unscheduled inspections , the committee and its territorial divisions will take appropriate response measures .	0,45
сондай-ақ өндіруші кәсіпорындарды қант қызылшасын өңдеуге тапсырылған әр тонна үшін ауыл шаруашылығы өнімін өндірушілерге субсидия беру жолымен шикізатпен қамтамасыз ету бойынша шаралар қабылданады .	measures are also being taken to supply raw materials to processing enterprises by subsidizing agricultural producers for a ton of sugar beet for processing .	0,45
нақты ақшалай табыстың ұлғаюына инфляцияның бәсеңдеуі мен халықтың табысын арттыру мақсатында қабылданған шаралар әсер етті .	the increase in real money incomes was influenced by the slowdown in inflation and the measures taken to increase the incomes of the population .	0,45
рейтинг ресми статистиканың объективті деректеріне де , сауалнаманың субъективті деректеріне де негізделеді .	the rating is based on both objective data of official statistics and subjective survey data .	0,45
дсұ-на мүше-елдер , қазіргі заманғы шындықтар ұйымнан иілімді де заманауи шешімдер қабылдауды талап ететінін , түсінуде .	wto member countries come to understand that modern realities require the organization to provide flexible and timely solutions .	0,45
